Id,Date,Year,Month,Country,Country_code,State_or_UT,State_Code,District,Dist_Code,Place,lat_new,lon_new,Source,Region,cluster_label
IND_164,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Siwan,SWN,,26.22,84.39,EMD,East,2
IND_165,"Wednesday, August 28, 2002",2002,8,India,IN,Bihar,BR,Supaul,SPL,,26.12,86.59,EMD,East,2
IND_166,"Tuesday, August 13, 2002",2002,8,India,IN,Uttarakhand,UT,Tehri Garhwal,TGH,,30.45,78.36,EMD,North,2
IND_167,"Tuesday, August 20, 2002",2002,8,India,IN,Madhya Pradesh,MP,Balaghat,BGT,,21.82,80.19,EMD,Central,2
IND_168,"Friday, September 6, 2002",2002,9,India,IN,Gujarat,GJ,Bharuch,BHR,,21.71,73.0,EMD,West,0
IND_169,"Friday, September 6, 2002",2002,9,India,IN,Maharashtra,MH,Nashik,NSH,,19.99,73.8,EMD,West,0
IND_170,"Friday, September 6, 2002",2002,9,India,IN,Maharashtra,MH,Jalgaon,JLG,,20.99,75.54,EMD,West,0
IND_171,"Wednesday, October 16, 2002",2002,10,India,IN,Kerala,KL,Kannur,KNU,,11.87,75.37,EMD,South,0
IND_172,"Wednesday, October 16, 2002",2002,10,India,IN,Kerala,KL,Kasaragod,KSG,,12.5,74.99,EMD,South,0
IND_173,"Wednesday, October 16, 2002",2002,10,India,IN,Kerala,KL,Kozhikode,KZK,,11.26,75.78,EMD,South,0
IND_174,"Wednesday, October 16, 2002",2002,10,India,IN,Kerala,KL,Malappuram,MLP,,11.06,76.02,EMD,South,0
IND_175,"Wednesday, October 16, 2002",2002,10,India,IN,Kerala,KL,Thiruvananthapuram,TVP,,8.52,76.94,EMD,South,0
IND_176,"Tuesday, October 1, 2002",2002,10,India,IN,Tamil Nadu,TN,Chennai,CHN,,13.06,80.13,EMD,South,0
IND_177,"Tuesday, October 1, 2002",2002,10,India,IN,Tamil Nadu,TN,Coimbatore,CMB,,11.01,76.92,EMD,South,0
IND_178,"Tuesday, October 1, 2002",2002,10,India,IN,Tamil Nadu,TN,Cuddalore,CLR,,11.76,79.77,EMD,South,0
IND_179,"Monday, September 1, 2003",2003,9,India,IN,Gujarat,GJ,Kachchh,KCH,"Khavda, Banni, Nakhatrana",23.33,69.91,EMD,West,0
IND_180,"Monday, September 1, 2003",2003,9,India,IN,Gujarat,GJ,Kachchh,KCH,Lakhpat village,23.33,69.91,EMD,West,0
IND_181,"Thursday, August 7, 2003",2003,8,India,IN,Himachal Pradesh,HP,Kullu,KLU,Solang village,31.95,77.09,EMD,North,2
IND_182,"Wednesday, July 16, 2003",2003,7,India,IN,Himachal Pradesh,HP,Kullu,KLU,,31.95,77.09,EMD,North,2
IND_183,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Cuttack,CTK,,20.46,85.88,EMD,East,2
IND_184,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Jagatsinghpur,JSH,,20.26,86.17,EMD,East,2
IND_185,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Kendrapara,KDR,,20.5,86.42,EMD,East,2
IND_186,"Monday, October 20, 2003",2003,10,India,IN,Odisha,OR,Jajpur,JJP,,20.84,86.33,EMD,East,2
